iso,year,no_dircrim,no_indcrim,gmc,nophys,nopsych,nodiv,nb3g,adp_general,adp_const,adp_employment,adp_edu,adp_health,adp_housing,trip_score
IRN,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2006,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2008,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2009,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2010,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2011,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2012,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2016,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2017,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2020,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRN,2021,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0
IRQ,1999,,,,,,,,,,,,,,
IRQ,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
IRQ,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
